cruise,lter_station,cast,niskin,date,latitude,longitude,depth
EN608,L9,22,23,2018-02-04 03:45:20,40.0798,-70.84751999999999,7.305406061607653
EN608,L9,22,24,2018-02-04 03:45:29,40.07977,-70.84747,6.610798399597114
EN608,MVCO,30,1,2018-02-05 00:07:32,41.3224,-70.5752,13.38855792301494
EN608,MVCO,30,2,2018-02-05 00:07:39,41.3224,-70.57514,13.829073616643484
EN608,MVCO,30,3,2018-02-05 00:07:46,41.3224,-70.5751,14.109852268691606
EN608,MVCO,30,4,2018-02-05 00:07:54,41.322379999999995,-70.57506,14.163428363460545
EN608,MVCO,30,5,2018-02-05 00:09:33,41.32224,-70.5747,10.247375724681744
EN608,MVCO,30,6,2018-02-05 00:09:39,41.32224,-70.57469,10.231501023790436
EN608,MVCO,30,7,2018-02-05 00:09:46,41.32224,-70.57466,9.875312098596297
EN608,MVCO,30,8,2018-02-05 00:09:52,41.32224,-70.57464,9.920951939812863
EN608,MVCO,30,9,2018-02-05 00:11:54,41.32222,-70.57423,4.014476563344521
EN608,MVCO,30,10,2018-02-05 00:12:00,41.32222,-70.5742,3.6493470045429803
EN608,MVCO,30,11,2018-02-05 00:12:06,41.3222,-70.5742,3.20285616899995
EN608,MVCO,30,12,2018-02-05 00:12:13,41.322179999999996,-70.57417,4.119649630554341
EN608,MVCO,30,13,2018-02-05 00:12:19,41.322179999999996,-70.57412,4.0273751499686465
EN608,MVCO,30,14,2018-02-05 00:12:26,41.32216,-70.57409,4.184142522375849
EN608,u11,17,1,2018-02-03 13:01:19,39.7713,-70.67841999999999,85.0959152961626
EN608,u11,17,2,2018-02-03 13:01:31,39.77126,-70.67848000000001,85.47186257005845
EN608,u11,17,3,2018-02-03 13:01:41,39.77124,-70.67849,85.74464709945704
EN608,u11,17,4,2018-02-03 13:05:56,39.7706,-70.67976999999999,8.153056244735932
EN608,u11,17,5,2018-02-03 13:06:04,39.770590000000006,-70.6798,8.429913087729746
EN608,u11,17,6,2018-02-03 13:06:14,39.77057,-70.67983000000001,8.688907859709328
EN608,u2,2,1,2018-02-01 00:35:19,41.0286,-70.65053,9.71285706942828
EN608,u2,2,2,2018-02-01 00:35:34,41.0286,-70.65042,9.619590433903904
EN608,u2,2,3,2018-02-01 00:37:55,41.02868,-70.64938000000001,4.0661801737052965
EN608,u2,2,4,2018-02-01 00:38:04,41.0287,-70.6493,3.918338533330245
EN608,u4,6,1,2018-02-01 13:54:08,40.69095,-70.65586,10.553570221564492
EN608,u4,6,2,2018-02-01 13:54:16,40.69088,-70.65584,10.492052303869858
EN608,u4,6,3,2018-02-01 13:56:43,40.68994,-70.65543000000001,4.9126971298444975
EN608,u4,6,4,2018-02-01 13:56:50,40.689890000000005,-70.65543000000001,5.234186425632202
EN608,u6,10,1,2018-02-02 04:07:39,40.35988,-70.66178000000001,24.13045584467249
EN608,u6,10,2,2018-02-02 04:07:46,40.35986,-70.66176,24.152283991165362
EN608,u6,10,3,2018-02-02 04:10:35,40.35944,-70.66133,5.878333726231372
EN608,u6,10,4,2018-02-02 04:10:43,40.35942,-70.66131999999999,5.495314425455196
EN608,u9,16,1,2018-02-03 00:34:21,40.09466,-70.66816999999999,36.23170251586431
EN608,u9,16,2,2018-02-03 00:34:29,40.094640000000005,-70.66821999999999,36.08387155010621
EN608,u9,16,3,2018-02-03 00:37:41,40.09432,-70.66957,5.688945815284617
EN608,u9,16,4,2018-02-03 00:37:48,40.0943,-70.66964,5.909236715004628
